2026-05-22 12:12:47 | INFO | __main__ | Inserting 34 ratings for 2024-25 Playoffs
2026-05-22 12:12:47 | INFO | __main__ | Pooled RAPM top 5:      [(1628369, 0.7726), (201143, 0.6071), (1630169, 0.6014), (1628983, 0.5993), (1627750, 0.5818)]
2026-05-22 12:12:47 | INFO | __main__ | RAPM+prior   top 5:     [(1631096, 1.8509), (1630169, 1.7793), (1628369, 1.7317), (1641717, 1.6952), (203497, 1.6153)]
2026-05-22 12:12:48 | INFO | __main__ | Loaded 88,487 pooled stints (['2023-24', '2024-25', '2025-26']) Regular Season
2026-05-22 12:12:48 | INFO | __main__ | Player pool: 791 players
2026-05-22 12:12:49 | INFO | __main__ | Matrix: (88487, 791), 884,870 nonzero entries
2026-05-22 12:12:49 | INFO | __main__ | Prior γ: min=-13.949 max=8.926 mean=-0.000
2026-05-22 12:12:49 | INFO | __main__ | Inserting 480 ratings for 2025-26 Regular Season
2026-05-22 12:12:49 | INFO | __main__ | Pooled RAPM top 5:      [(1628983, 2.9303), (1630202, 2.5717), (203999, 2.0355), (1630198, 1.8691), (203932, 1.8643)]
2026-05-22 12:12:49 | INFO | __main__ | RAPM+prior   top 5:     [(1628983, 3.5115), (203999, 3.1251), (1630202, 2.9413), (203932, 2.9079), (1641705, 2.7742)]
2026-05-22 12:12:49 | INFO | __main__ | Loaded 4,412 pooled stints (['2023-24', '2024-25', '2025-26']) Playoffs
2026-05-22 12:12:49 | INFO | __main__ | Player pool: 356 players
2026-05-22 12:12:50 | INFO | __main__ | Matrix: (4412, 356), 44,120 nonzero entries
2026-05-22 12:12:50 | INFO | __main__ | Prior γ: min=-17.124 max=8.436 mean=0.000
2026-05-22 12:12:50 | INFO | __main__ | Inserting 25 ratings for 2025-26 Playoffs
2026-05-22 12:12:50 | INFO | __main__ | Pooled RAPM top 5:      [(1628369, 0.7607), (1628983, 0.7062), (1630169, 0.6138), (1631096, 0.5793), (201950, 0.5294)]
2026-05-22 12:12:50 | INFO | __main__ | RAPM+prior   top 5:     [(1628369, 1.9172), (1631096, 1.8724), (1630169, 1.8324), (1641717, 1.6589), (1628983, 1.5932)]
2026-05-22 12:12:50 | INFO | __main__ | Done

